time_ms,raw_distance_mm
868,1432
892,1446
917,1446
941,1440
966,1454
991,1451
1015,1439
1041,1451
1065,1437
1089,1448
1114,1440
1139,1441
1163,1443
1188,1450
1213,1452
1237,1449
1262,1451
1287,1450
1311,1454
1336,1458
1361,1455
1386,1438
1411,1441
1435,1443
1460,1449
1484,1451
1509,1429
1534,1455
1558,1433
1583,1440
1608,1450
1632,1460
1657,1461
1682,1425
1706,1446
1731,1448
1756,1451
1780,1449
1805,1450
1830,1441
1854,1436
1879,1449
1879,1449
1904,1443
1928,1456
1953,1456
1978,1454
2002,1456
2027,1443
2052,1442
2076,1452
2101,1450
2126,1439
2150,1449
2175,1460
2200,1441
2224,1437
2249,1466
2274,1451
2298,1434
2323,1446
2348,1449
2372,1448
2397,1467
2422,1437
2446,1438
2471,1457
2496,1448
2520,1454
2545,1433
2570,1440
2594,1451
2619,1445
2643,1462
2668,1454
2693,1436
2717,1437
2742,1440
2767,1446
2791,1459
2816,1452
2841,1461
2865,1443
2890,1448
2915,1446
2939,1452
2964,1436
2989,1459
3013,1456
3038,1441
3063,1446
3087,1448
3112,1454
3137,1454
3161,1468
3186,1449
3211,1448
3236,1435
3260,1450
3285,1445
3309,1438
3334,1451
3359,1452
3383,1447
3408,1447
3433,1457
3458,1438
3482,1453
3507,1443
3532,1445
3556,1428
3581,1446
3606,1455
3630,1442
3656,1448
3680,1435
3704,1438
3729,1449
3754,1443
3778,1453
3803,1431
3828,1446
3852,1447
3877,1442
3902,1439
3926,1441
3951,1460
3976,1452
4000,1445
4025,1447
4050,1453
4074,1442
4099,1436
4124,1449
4149,1445
4173,1447
4198,1449
4223,1450
4247,1451
4272,1446
4297,1440
4321,1452
4346,1455
4371,1448
4395,1462
4420,1427
4445,1461
4469,1446
4494,1439
4519,1465
4543,1450
4568,1438
4593,1439
4617,1456
4642,1460
4667,1436
4691,1446
4716,1445
4741,1441
4765,1450
4790,1435
4815,1442
4839,1435
4864,1446
4889,1453
4913,1447
4938,1436
4962,1452
4987,1450
5012,1448
5036,1452
5061,1453
5086,1435
5110,1441
5135,1430
5160,1459
5184,1443
5209,1434
5234,1449
5258,1455
5283,1438
5308,1450
5333,1454
5358,1434
5382,1445
5407,1462
5432,1458
5456,1456
5481,1447
5506,1443
5530,1436
5555,1450
5579,1450
5604,1438
5629,1438
5653,1436
5678,1449
5703,1456
5727,1441
5752,1453
5777,1452
5801,1446
5826,1446
5851,1441
5875,1447
5900,1429
5925,1464
5949,1446
5974,1462
5999,1437
6024,1444
6049,1444
6073,1436
6098,1441
6123,1443
6147,1438
6172,1438
6196,1438
6221,1434
6246,1440
6270,1459
6295,1449
6320,1448
6344,1445
6369,1452
6394,1440
6419,1452
6443,1445
6468,1446
6492,1460
6517,1428
6542,1449
6566,1445
6591,1456
6616,1445
6640,1448
6666,1454
6690,1444
6715,1442
6739,1458
6764,1455
6789,1447
6813,1452
6838,1432
6863,1458
6887,1451
6912,1437
6937,1458
6961,1450
6986,1432
7011,1441
7035,1455
7060,1449
7085,1439
7109,1471
7134,1435
7159,1437
7183,1451
7208,1439
7233,1444
7257,1440
7282,1442
7307,1456
7332,1444
7356,1453
7381,1448
7406,1465
7430,1444
7455,1446
7480,1432
7504,1448
7529,1448
7554,1462
7578,1454
7603,1463
7628,1464
7652,1436
7677,1444
7702,1454
7726,1462
7751,1414
7776,1454
7800,1434
7825,1457
7850,1446
7874,1435
7899,1461
7924,1446
7949,1446
7973,1449
7998,1447
8023,1441
8047,1444
8072,1441
8097,1444
8121,1446
8146,1450
8171,1451
8195,1451
8220,1443
8245,1435
8269,1444
8294,1458
8319,1450
8343,1450
8368,1448
8393,1454
8417,1458
8442,1453
8467,1445
8491,1435
8516,1444
8541,1424
8565,1427
8590,1447
8615,1458
8640,1453
8664,1448
8689,1453
8714,1451
8738,1441
8763,1459
8788,1449
8812,1447
8837,1447
8862,1442
8886,1448
8911,1444
8936,1450
8960,1441
8985,1449
9010,1442
9034,1440
9059,1454
9084,1435
9108,1447
9133,1443
9158,1445
9182,1445
9207,1453
9232,1450
9256,1422
9281,1444
9306,1440
9330,1459
9355,1447
9380,1450
9405,1445
9429,1443
9454,1443
9479,1452
9503,1454
9528,1448
9553,1451
9577,1441
9602,1445
9627,1437
9651,1453
9676,1438
9701,1439
9725,1430
9750,1452
9775,1462
9799,1439
9824,1437
9849,1448
9873,1433
9898,1449
9923,1441
9947,1452
9972,1445
9997,1440
10021,1441
10046,1446
10071,1455
10095,1446
10120,1441
10145,1459
10169,1445
10194,1461
10218,1428
10243,1441
10268,1452
10293,1449
10318,1442
10342,1442
10367,1448
10392,1452
10416,1459
10441,1448
10466,1450
10490,1429
10515,1450
10540,1448
10564,1453
10589,1442
10614,1444
10638,1451